Repo,Closed,Commented,Not interested,Interested,Use,Not use,Spam,Not applicable,Feedback,Recognize automations,Model feedback,Suggest task implementations,Agree,Don't agree,No English response
camunda-community-hub/zeebe-hazelcast-exporter,1,1,"","",,1,,1,,,,,,,
openGemini/opengemini-client-java,1,,,,,,,,,,,,,,
Lenni0451/LambdaEvents,1,1,"","",1,,,1,"",,,,,,
maciekberry/MonumentPhotoExporter,1,,,,,,,,,,,,,,
testcontainers/testcontainers-java,1,1,,,,,,,1,1,,,,,
Deep-Symmetry/crate-digger,1,1,1,,,,,,,,,,,,
toolisticon/cute,1,1,,1,,,,,1,,,1,,,
foojayio/discoapi,1,1,"",,,,,1,,,,,,,
ops4j/org.ops4j.pax.web,1,,,,,,,,,,,,,,
microsoft/typespec,1,,,,,,,,,,,,,,
TechnicallyCoded/Inventory-Rollback-Plus,1,1,1,,,,1,,,,,,,,
Crazy-Crew/BlockParticles,1,1,1,,,,,,,,,,,,
TerraformersMC/Vistas,1,1,"",,,,,1,,,,,,,
cognitect/transit-java,1,,,,,,,,,,,,,,
caffeinemc/lithium,1,,,,,,,,,,,,,,
M-T3K/UPM,,,,,,,,,,,,,,,
verils/gotemplate4j,,,,,,,,,,,,,,,
udacity/nd035-c1-spring-boot-basics-examples,,,,,,,,,,,,,,,
instaclustr/cassandra-ldap,,,,,,,,,,,,,,,
sailthru/sailthru-java-client,,,,,,,,,,,,,,,
NXPNFCProject/NFC_NCIHAL_base,,,,,,,,,,,,,,,
xuxueli/xxl-api,,,,,,,,,,,,,,,
sky-map-team/stardroid,,,,,,,,,,,,,,,
soartech/jsoar,,,,,,,,,,,,,,,
HeChuQIU/MinecraftMod-Mindustry,,,,,,,,,,,,,,,
spotify/mobius,,,,,,,,,,,,,,,
RealHeart/ZMusic,,,,,,,,,,,,,,,
SecUSo/privacy-friendly-werewolf,,,,,,,,,,,,,,,
dashaun/initializr-plusplus,,,,,,,,,,,,,,,
tberg12/ocular,,,,,,,,,,,,,,,
datastax/jvector,,,,,,,,,,,,,,,
spring-guides/tut-rest,,,,,,,,,,,,,,,
oliverdunk/JukeboxAPI,,,,,,,,,,,,,,,
dkpro/dkpro-statistics,,,,,,,,,,,,,,,
IntellectualSites/HTTP4J,1,,,,,,,,,,,,,,
